,Load_MW,temperature_2m,wind_speed_10m,shortwave_radiation,hour,dayofweek,month,is_weekend,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,is_holiday,lag_hour,lag_day,lag_week,rolling_mean_24h,rolling_mean_168h,rolling_std_24h,rolling_std_168h
2020-01-15 00:00:00,53772.35,9.8,23.1,0.0,0,2,1,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,57004.2,54723.66,54220.74,68084.16208333333,62639.00892857143,8561.584061788919,9586.895649236252
2020-01-15 01:00:00,52961.57,9.7,24.7,0.0,1,2,1,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,53772.35,53513.86,52752.95,68044.52416666667,62636.33994047619,8628.073086118316,9589.315436305946
2020-01-15 02:00:00,52630.72,10.0,24.0,0.0,2,2,1,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,52961.57,53991.84,52254.87,68021.51208333333,62637.58172619048,8669.151794053882,9588.041328174053
2020-01-15 03:00:00,53904.02,9.6,23.0,0.0,3,2,1,0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,52630.72,55188.56,53193.03,67964.79875,62639.81892857143,8768.803457083977,9585.647746821045
2020-01-15 04:00:00,56986.86,9.8,23.2,0.0,4,2,1,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,53904.02,57903.65,55776.01,67911.27625000001,62644.05101190476,8853.686272944173,9581.60809580144
2020-01-15 05:00:00,63071.33,9.9,22.7,0.0,5,2,1,0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,56986.86,64613.46,61505.38,67873.07666666668,62651.25845238095,8900.595389223012,9576.865145284071
2020-01-15 06:00:00,71168.26,9.8,22.5,0.0,6,2,1,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,63071.33,72342.87,69519.66,67808.82125,62660.579583333325,8930.666123781783,9576.505247478523
2020-01-15 07:00:00,74760.89,10.5,23.5,0.0,7,2,1,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,71168.26,75642.96,73867.38,67759.87916666667,62670.39267857142,8907.927791335236,9584.417266379194
2020-01-15 08:00:00,73515.17,10.6,22.0,0.0,8,2,1,0,0.8660254037844388,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,74760.89,75226.56,73731.56,67723.12625,62675.71119047619,8875.750682123984,9590.913527381963
2020-01-15 09:00:00,73949.63,10.8,20.8,6.0,9,2,1,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,73515.17,75426.28,74948.9,67651.81833333334,62674.423154761906,8819.54369085802,9589.434279908175
